"","owner","farm_name","mill","in_country_partner","country_of_origin","altitude_low_meters","altitude_high_meters","altitude_mean_meters","number_of_bags","bag_weight","species","variety","processing_method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","moisture","category_one_defects","category_two_defects","color","total_cup_points"
"111","racafe & cia s.c.a",NA,NA,"Almacafé","Colombia",1600,1950,1775,50,"70 kg","Arabica","Caturra","Washed / Wet",7.75,7.92,7.83,7.75,7.75,8,10,10,10,0.11,0,3,"Green",84.92
"112","artemio zapata tejeda","el suspiro","pacho viejo","AMECAFE","Mexico",1200,1200,1200,25,"1 kg","Arabica","Typica","Semi-washed / Semi-pulped",7.75,8,7.75,7.83,7.5,7.92,10,10,10,0.11,0,0,NA,84.92
"113","nucoffee","fazenda grota funda",NA,"NUCOFFEE","Brazil",1200,1200,1200,4,"60 kg","Arabica","Bourbon","Natural / Dry",8,7.92,7.75,7.75,8,7.75,10,10,10,0.11,0,2,"Green",84.92
"114","nucoffee","sitio claro",NA,"NUCOFFEE","Brazil",1000,1000,1000,10,"60 kg","Arabica","Catuai","Natural / Dry",8,8,7.75,8,7.5,7.75,10,10,10,0.12,0,2,"Green",84.92
"115","brian speckman",NA,NA,"Specialty Coffee Association","Kenya",NA,NA,NA,320,"60 kg","Arabica",NA,NA,8,7.67,7.83,8.17,7.92,7.75,10,10,10,0.06,1,9,NA,84.92
"116","lin, che-hao krude 林哲豪","shi fang yuan 十方源","shi fang yuan 十方源","Specialty Coffee Association","Taiwan",350,350,350,10,"20 kg","Arabica","Typica","Natural / Dry",7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,0,0,0,"Green",84.83
"117","kawacom uganda ltd","mt.elgon bugisu shamba 2","kawacom","Uganda Coffee Development Authority","Uganda",1400,1900,1650,1,"60 kg","Arabica","SL14","Natural / Dry",7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,0.12,0,1,"Green",84.83
"118","kona pacific farmers cooperative",NA,NA,"Specialty Coffee Association","United States (Hawaii)",NA,NA,NA,14,"100 lbs","Arabica","Hawaiian Kona","Natural / Dry",7.67,7.75,7.75,7.75,7.83,8,10,10,10,0,3,15,NA,84.83
"119","ethiopia commodity exchange","contact | sidacoop@ethionet.net","coffee processing and warehouse enterpri","Ethiopia Commodity Exchange","Ethiopia",1500,2000,1750,300,"6","Arabica",NA,NA,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,0.1,0,2,NA,84.83
"120","philip schluter","contact | sidacoop@ethionet.net","coffee processing and warehouse enterpri","Ethiopia Commodity Exchange","Ethiopia",1500,2000,1750,300,"6","Arabica",NA,NA,7.42,7.92,7.92,8,7.83,7.83,10,10,10,0.1,0,4,NA,84.83
"121","松澤宏樹 koju matsuzawa","matsuzawa coffee","matsuzawa coffee","Specialty Coffee Institute of Asia","Thailand",NA,NA,NA,50,"50 kg","Arabica","Caturra","Pulped natural / honey",7.75,7.75,7.75,7.75,8,7.75,10,10,10,0.12,0,0,"Green",84.75
"122","lydiah mwangi","karatina","sagana","Kenya Coffee Traders Association","Kenya",1800,1800,1800,150,"60 kg","Arabica","SL34","Washed / Wet",7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,0.13,0,0,"Green",84.75
"123","cadexsa","cerro bueno","cadexsa","Instituto Hondure<U+00F1>o del Café","Honduras",1450,1450,1450,275,"1 kg","Arabica","Catuai","Washed / Wet",7.83,7.75,8,7.67,7.67,7.67,10,10,10,0.11,0,4,"Green",84.75
"124","the coffee source inc.","several","la majada cooperative","Specialty Coffee Association","El Salvador",1200,1200,1200,250,"69 kg","Arabica",NA,NA,7.75,8,8,8.33,7.67,7.92,10,10,9.33,0.15,0,3,NA,84.75
"125","grounds for health admin","santa martha","beneficio atlantic sebaco","Specialty Coffee Association","Nicaragua",800,1050,925,2,"6","Arabica",NA,NA,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,0.18,0,2,NA,84.75
"126","consejo salvadore<U+00F1>o del café","monterrey","j.j. borja nathan","Salvadoran Coffee Council","El Salvador",1350,1350,1350,150,"69 kg","Arabica","Bourbon","Washed / Wet",7.83,7.83,7.5,8,7.83,7.67,10,10,10,0,0,2,"Blue-Green",84.67
"127","sanjava coffee","sran temanggung plantation","wet hulling","Specialty Coffee Association of Indonesia","Indonesia",1200,1200,1200,2,"1 kg","Arabica","Java","Washed / Wet",7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,0.12,0,7,"Green",84.67
"128","松澤宏樹 koju matsuzawa","ada farm","ada farm","Specialty Coffee Institute of Asia","Japan",170,170,170,20,"1 kg","Arabica","Mundo Novo","Pulped natural / honey",7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,0.12,0,0,"Green",84.67
"129","rodrigo soto","rio jorco","rio jorco","Specialty Coffee Association of Costa Rica","Costa Rica",1150,1150,1150,15,"69 kg","Arabica","Catuai","Washed / Wet",8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,0.1,0,2,"Blue-Green",84.67
"130","juan luis alvarado romero","san diego buena vista","san diego buena vista","Asociacion Nacional Del Café","Guatemala",1600,1600,1600,120,"34 kg","Arabica","Bourbon","Washed / Wet",7.75,7.83,7.58,8,7.92,7.75,10,10,10,0.1,0,1,"Green",84.67
"131","fabian calderon mora","coopetarrazú","coopetarrazú","Specialty Coffee Association of Costa Rica","Costa Rica",1750,1750,1750,50,"1 lbs","Arabica","Caturra","Washed / Wet",8.17,8,7.83,7.17,7.83,7.75,10,10,10,0.12,0,0,"Green",84.67
"132","essencecoffee","moplaco","moplaco","Blossom Valley International","Ethiopia",1900,1900,1900,250,"30 kg","Arabica","Ethiopian Yirgacheffe","Washed / Wet",8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,0.1,0,3,NA,84.67
"133","essencecoffee","finca salaca las brisas","beneficio las brisas","Blossom Valley International","Costa Rica",1750,1750,1750,20,"69 kg","Arabica","Other","Other",7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,0.08,0,1,"Green",84.67
"134","eric thormaehlen","various","coricafe sa","Specialty Coffee Association of Costa Rica","Costa Rica",1200,1200,1200,275,"1 kg","Arabica","Catuai","Washed / Wet",8,7.58,7.83,7.75,7.75,7.75,10,10,10,0.11,0,4,"Green",84.67
"135","rob tuttle",NA,NA,"Specialty Coffee Association","Costa Rica",NA,NA,NA,1,"2 kg","Arabica",NA,"Washed / Wet",8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,0,1,10,"Green",84.67
"136","cqi taiwan icp cqi台灣合作夥伴","dragon 龍咖啡","dragon coffee 龍咖","Blossom Valley International","Taiwan",1000,1000,1000,10,"30 kg","Arabica","Typica","Washed / Wet",8,7.92,7.75,7.75,7.75,7.75,10,10,10,0.11,0,0,"Green",84.67
"137","compa<U+00F1>ia colombiana agroindustrial s.a",NA,"trilladora agricola","Almacafé","Colombia",1550,1550,1550,250,"70 kg","Arabica","Caturra","Washed / Wet",7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,0,0,0,"Green",84.67
"138","dream together",NA,NA,"Specialty Coffee Institute of Asia","Kenya",2000,2000,2000,235,"60 kg","Arabica","SL28","Washed / Wet",7.75,7.92,7.83,8,7.58,7.75,10,10,10,0.11,0,0,"Bluish-Green",84.67
"139","juan luis alvarado romero","agropecuaria quiagral","beneficio ixchel","Asociacion Nacional Del Café","Guatemala",1310.64,1310.64,1310.64,250,"1 kg","Arabica","Bourbon","Washed / Wet",8,7.83,7.67,7.83,7.67,8,10,10,10,0.11,0,4,"Green",84.67
"140","juan luis alvarado romero","valparaiso","beneficio valparaiso","Asociacion Nacional Del Café","Guatemala",1524,1524,1524,125,"1 kg","Arabica","Bourbon","Washed / Wet",7.67,7.83,7.67,8,7.67,7.83,10,10,10,0.12,0,4,"Green",84.67
"141","organizaciones de productores de cafe colimense","el nogal, la higuera, los laureles","cafetaleros de el remudadero s.p.r. de r.l.","AMECAFE","Mexico",1200,1200,1200,80,"1 kg","Arabica","Typica","Washed / Wet",7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,0.13,0,3,NA,84.67
"142","afca",NA,"ugacof","Africa Fine Coffee Association","Uganda",1700,1850,1775,320,"60 kg","Arabica","Other","Washed / Wet",7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,0.11,0,3,"Blue-Green",84.67
"143","benjamin schmerler",NA,NA,"Specialty Coffee Association","Peru",NA,NA,NA,1,"60 kg","Arabica",NA,NA,7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,0,0,3,NA,84.67
"144","ethiopia commodity exchange","contact | sidacoop@ethionet.net","coffee processing and warehouse enterpri","Ethiopia Commodity Exchange","Ethiopia",1500,2000,1750,300,"6","Arabica",NA,NA,7.42,7.75,7.75,8,8,7.92,10,10,10,0.2,0,3,NA,84.67
"145","jungle estate","jungle estate","nkg mills","Kenya Coffee Traders Association","Kenya",1754,1754,1754,66,"60 kg","Arabica","SL34","Washed / Wet",7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,0.11,0,5,"Blue-Green",84.58
"146","racafe & cia s.c.a",NA,"bucaramanga","Almacafé","Colombia",1500,1500,1500,250,"70 kg","Arabica","Other","Washed / Wet",7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,0,0,4,"Blue-Green",84.58
"147","racafe & cia s.c.a",NA,"bachue","Almacafé","Colombia",NA,NA,NA,125,"70 kg","Arabica","Caturra","Washed / Wet",7.92,7.83,7.58,8,7.83,7.67,10,10,10,0,0,5,"Green",84.58
"148","daniel magu","blend","sagana","Kenya Coffee Traders Association","Kenya",1800,1800,1800,100,"60 kg","Arabica","Peaberry","Washed / Wet",7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,0.1,0,2,"Bluish-Green",84.58
"149","juan luis alvarado romero","el morito","el morito","Asociacion Nacional Del Café","Guatemala",1524,1524,1524,250,"69 kg","Arabica","Pacas","Washed / Wet",7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,0.11,0,1,"Green",84.58
"150","juan luis alvarado romero","el papaturro","beneficio ixchel","Asociacion Nacional Del Café","Guatemala",1219.2,1219.2,1219.2,250,"69 kg","Arabica","Bourbon","Washed / Wet",8,7.92,7.67,7.58,7.58,7.67,10,10,10,0.09,0,0,"Green",84.58
"151","compa<U+00F1>ia colombiana agroindustrial s.a",NA,"trilladora agricola","Almacafé","Colombia",1550,1550,1550,250,"70 kg","Arabica","Caturra","Washed / Wet",7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,0,0,0,NA,84.58
"152","racafe & cia s.c.a",NA,NA,"Almacafé","Colombia",1600,1900,1750,75,"70 kg","Arabica","Caturra","Washed / Wet",7.75,7.75,7.83,7.75,7.58,8,10,10,10,0,0,5,NA,84.58
"153","taylor winch (coffee) ltd.",NA,NA,"Kenya Coffee Traders Association","Kenya",NA,NA,NA,11,"660 kg","Arabica","SL28","Washed / Wet",7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,0,0,0,"Green",84.58
"154","exportadora de cafe condor s.a",NA,"trilladora boananza","Almacafé","Colombia",1750,1750,1750,250,"70 kg","Arabica","Caturra","Washed / Wet",7.67,7.83,7.83,8,7.58,7.92,10,10,10,0,0,2,"Green",84.58
"155","lusso lab","la chaparral",NA,"Specialty Coffee Association","Costa Rica",1450,1700,1575,1,"1 kg","Arabica","Bourbon","Semi-washed / Semi-pulped",7.75,7.83,7.75,8,7.83,7.67,10,10,10,0.12,0,2,"Bluish-Green",84.58
"156","exportadora de cafe condor s.a","various","trilladora boananza","Almacafé","Colombia",1800,1800,1800,250,"70 kg","Arabica","Caturra","Washed / Wet",7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,0.11,0,6,"Green",84.58
"157","nucoffee","fazenda recreio",NA,"NUCOFFEE","Brazil",1300,1300,1300,37,"60 kg","Arabica","Bourbon","Semi-washed / Semi-pulped",8,8,7.75,7.75,7.58,7.75,10,10,10,0.12,0,2,"Green",84.58
"158","nucoffee","fazenda vista alegre",NA,"NUCOFFEE","Brazil",1100,1100,1100,35,"60 kg","Arabica","Catuai","Semi-washed / Semi-pulped",8.5,8,7.5,7.75,7.5,7.83,10,10,10,0.11,0,1,"Blue-Green",84.58
"159","max gurdian",NA,"beneficio santo domingo - beneficio dosmil","Specialty Coffee Association of Costa Rica","Costa Rica",1200,1200,1200,275,"18975 kg","Arabica","Caturra","Washed / Wet",7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,0.1,0,2,"Bluish-Green",84.5
"160","ecom japan limited","kawacom sipi project","kawacom","Uganda Coffee Development Authority","Uganda",1750,1750,1750,200,"12000 kg","Arabica","SL14","Washed / Wet",7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,0.11,0,1,"Green",84.5
"161","yunnan coffee exchange","menglian ban’an coffee processing factory","menglian ban’an coffee processing factory","Yunnan Coffee Exchange","China",1680,1680,1680,3,"60 kg","Arabica","Catimor","Washed / Wet",7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,0.1,0,1,"Green",84.5
"162","fabian calderon mora","coopetarrazú","coopetarrazú","Specialty Coffee Association of Costa Rica","Costa Rica",1700,1700,1700,250,"1 lbs","Arabica","Caturra","Washed / Wet",7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,0.11,0,0,"Green",84.5
"163","federacion nacional de cafeteros",NA,"cauca","Almacafé","Colombia",1800,1800,1800,275,"2 kg","Arabica","Other","Washed / Wet",8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,0.12,1,0,"Green",84.5
"164","eric wu","puer jiangcheng fuwang coffee biotechnology co., ltd","puer jiangcheng fuwang coffee biotechnology co., ltd","Specialty Coffee Association","China",1100,1100,1100,1,"2 kg","Arabica","Other","Washed / Wet",7.67,8,7.75,7.83,7.75,7.58,10,10,10,0,0,2,"Green",84.5
"165","juan luis alvarado romero","el sacramento","beneficio ixchel","Asociacion Nacional Del Café","Guatemala",1310.64,1310.64,1310.64,250,"69 kg","Arabica","Bourbon","Washed / Wet",8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,0.11,0,2,"Green",84.5
"166","dream together","rumukia farmers","sasini","Specialty Coffee Institute of Asia","Kenya",2000,2000,2000,235,"60 kg","Arabica","SL28","Washed / Wet",7.92,7.83,7.67,8,7.67,7.75,10,10,10,0.11,0,0,"Blue-Green",84.5
"167","maria imelda uscanga martinez","la barranca","hustusco","AMECAFE","Mexico",1350,1350,1350,56,"1 kg","Arabica","Typica","Washed / Wet",8,7.92,7.42,8.08,7.5,7.67,10,10,10,0.12,0,0,"Green",84.5
"168","alfredo bojalil","finca el retiro","agroindustrias unidas de mexico","AMECAFE","Mexico",1500,1500,1500,250,"1 kg","Arabica","Typica","Washed / Wet",7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,0.11,0,4,NA,84.5
"169","juan luis alvarado romero","nueva granada","beneficio nueva granada","Asociacion Nacional Del Café","Guatemala",NA,NA,NA,250,"69 kg","Arabica","Bourbon","Washed / Wet",7.67,8,7.67,8,7.5,7.83,10,10,10,0.11,0,2,"Green",84.5
"170","daniel friedlander",NA,"mmm","NUCOFFEE","Brazil",NA,NA,NA,27,"60 kg","Arabica",NA,NA,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,0,0,4,NA,84.5
"171","alexandra katona-carroll",NA,NA,"NUCOFFEE","Brazil",NA,NA,NA,320,"60 kg","Arabica",NA,NA,8.17,7.67,7.75,7.75,7.67,7.75,10,10,10,0,2,0,NA,84.5
"172","max gurdian","several farmers","beneficio san diego","Specialty Coffee Association of Costa Rica","Costa Rica",1300,1300,1300,275,"69 kg","Arabica","Caturra","Washed / Wet",7.58,7.83,7.83,8,7.67,7.58,10,10,10,0.1,0,3,"Blue-Green",84.42
"173","aulia arif syahri","darmawi","dry mill","Specialty Coffee Association","Indonesia",1400,1400,1400,200,"30 kg","Arabica","Mandheling","Other",7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,0,0,3,"Blue-Green",84.42
"174","carcafe ltda ci",NA,"neiva","Almacafé","Colombia",NA,NA,NA,304,"35 kg","Arabica","Caturra","Natural / Dry",7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,0,0,1,"Green",84.42
"175","racafe & cia s.c.a",NA,NA,"Almacafé","Colombia",1600,1950,1775,275,"70 kg","Arabica","Caturra","Washed / Wet",7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,0,0,3,"Green",84.42
"176","kao ming lee","tropica galliard","tropica galliard","Specialty Coffee Association","Taiwan",1200,1200,1200,2,"2 kg","Arabica","Typica","Washed / Wet",7.83,7.83,7.75,8,7.5,7.75,10,10,10,0.11,0,0,"Blue-Green",84.42
"177","kona pacific farmers cooperative",NA,NA,"Specialty Coffee Association","United States (Hawaii)",NA,NA,NA,5,"100 lbs","Arabica","Hawaiian Kona","Natural / Dry",7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,0.11,0,1,"Blue-Green",84.42
"178","maria amalia guadalupe toriello elorza","finca la chiripa","finca hamburgo","AMECAFE","Mexico",900,900,900,69,"1 kg","Arabica","Pacamara","Washed / Wet",7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,0.12,2,4,NA,84.42
"179","ethiopia commodity exchange","phone number | 0911-513824 email: gmt.ft",NA,"Ethiopia Commodity Exchange","Ethiopia",NA,NA,NA,360,"6 kg","Arabica",NA,NA,7.5,7.75,7.83,7.92,7.92,7.75,10,10,10,0.2,0,2,NA,84.42
"180","lydiah mwangi","kigwandi","central kenya coffee mills","Kenya Coffee Traders Association","Kenya",1800,1800,1800,150,"60 kg","Arabica","SL28","Washed / Wet",7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,0.11,0,4,"Green",84.33
"181","bismarck castro","las cuchillas","cigrah s.a de c.v.","Instituto Hondure<U+00F1>o del Café","Honduras",1500,1500,1500,275,"66 kg","Arabica","Caturra",NA,7.92,8,7.75,7.67,7.67,7.75,10,10,10,0.1,0,3,"Green",84.33
"182","raúl vargas",NA,"san josé / neiva","Almacafé","Colombia",NA,NA,NA,275,"70 kg","Arabica","Caturra","Washed / Wet",7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,0,0,5,"Green",84.33
"183","bismarck castro","los hicaques","dry mill","Instituto Hondure<U+00F1>o del Café","Honduras",1500,1500,1500,275,"69 kg","Arabica","Catuai","Washed / Wet",7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,0.11,0,2,"Green",84.33
"184","racafe & cia s.c.a",NA,"bogota - bachue","Almacafé","Colombia",NA,NA,NA,275,"70 kg","Arabica",NA,NA,7.67,7.67,7.75,7.83,7.75,7.83,10,10,10,0,0,4,NA,84.33
"185","carcafe ltda ci",NA,"neiva","Almacafé","Colombia",442,442,442,250,"70 kg","Arabica","Caturra","Natural / Dry",7.75,7.67,8,7.67,8.08,7.83,10,10,10,0.11,6,0,"Green",84.33
"186","exportadora de cafe condor s.a",NA,"trilladora boananza","Almacafé","Colombia",1800,1800,1800,275,"70 kg","Arabica","Caturra","Washed / Wet",7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,0,0,0,"Green",84.33
"187","victor hugo melchor cordova","la distancia","la distancia","AMECAFE","Mexico",1700,1700,1700,100,"80 kg","Arabica","Typica","Washed / Wet",8,7.75,7.75,7.83,7.5,7.67,10,10,10,0.12,0,1,"Blue-Green",84.33
"188","nucoffee","santa alina",NA,"NUCOFFEE","Brazil",1200,1350,1275,75,"60 kg","Arabica","Yellow Bourbon",NA,8.17,8,7.5,7.75,7.5,7.67,10,10,10,0,0,4,NA,84.33
"189","nucoffee","fazenda baipendi",NA,"NUCOFFEE","Brazil",900,1200,1050,80,"60 kg","Arabica",NA,NA,8,8,7.5,7.5,7.67,7.75,10,10,10,0.02,0,2,NA,84.33
"190","benjamin schmerler",NA,NA,"Specialty Coffee Association","Ethiopia",1097.28,1889.76,1493.52,1,"132 lbs","Arabica",NA,NA,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,0,0,1,NA,84.33
"191","the coffee source inc.","las minas","las minas","Specialty Coffee Association","Guatemala",1341.12,1432.56,1386.84,250,"1","Arabica",NA,NA,7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,0.04,1,1,NA,84.33
"192","lin, che-hao krude 林哲豪","馨晴咖啡 good mood coffee","馨晴咖啡 good mood coffee","Specialty Coffee Association","Taiwan",1000,1000,1000,10,"5 kg","Arabica","Typica","Washed / Wet",7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,0.12,0,0,"Blue-Green",84.25
"193","松澤宏樹 koju matsuzawa","matsuzawa coffee","matsuzawa coffee","Specialty Coffee Institute of Asia","Thailand",1200,1200,1200,20,"25 kg","Arabica","Catimor","Natural / Dry",7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,0.12,0,0,"Green",84.25
"194","carcafe ltda ci",NA,"pasto","Almacafé","Colombia",2560,2560,2560,275,"70 kg","Arabica","Caturra","Natural / Dry",7.83,7.58,7.75,7.58,7.67,8,10,10,10,0.11,0,2,"Green",84.25
"195","juan luis alvarado romero","finca medina","beneficio siembras vision (154)","Asociacion Nacional Del Café","Guatemala",1500,1500,1500,230,"69 kg","Arabica","Caturra","Washed / Wet",7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,0.11,0,4,"Green",84.25
"196","juan luis alvarado romero","finca san vicente","beneficio exportacafe agua santa","Asociacion Nacional Del Café","Guatemala",1099.4136,1099.4136,1099.4136,275,"69 kg","Arabica","Caturra","Washed / Wet",7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,0.1,0,1,"Green",84.25
"197","yunnan coffee exchange","menglian county nayun town mangzhang coffee farm","menglian county nayun town mangzhang coffee farm","Yunnan Coffee Exchange","China",1400,1400,1400,3,"60 kg","Arabica","Catimor","Natural / Dry",7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,0.1,0,1,"Green",84.25
"198","racafe & cia s.c.a",NA,NA,"Almacafé","Colombia",1600,1950,1775,275,"70 kg","Arabica","Caturra","Washed / Wet",7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,0.11,0,3,"Green",84.25
"199","racafe & cia s.c.a",NA,NA,"Almacafé","Colombia",1600,1950,1775,248,"70 kg","Arabica","Caturra","Washed / Wet",7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,0.12,4,2,"Green",84.25
"200","federacion nacional de cafeteros",NA,"cauca","Almacafé","Colombia",1800,1800,1800,275,"2 kg","Arabica","Other","Washed / Wet",7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,0.12,0,0,"Green",84.25
"201","carcafe ltda ci",NA,"neiva","Almacafé","Colombia",442,442,442,250,"70 kg","Arabica","Caturra","Natural / Dry",7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,0.12,3,0,"Green",84.25
"202","tembo coffee company ltd","jacksom mwasenga","tembo coffee company ltd","Africa Fine Coffee Association","Tanzania, United Republic Of",1620,1620,1620,10,"60 kg","Arabica","Other","Washed / Wet",7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,0.12,0,7,"Green",84.25
"203","taylor winch (t) ltd","suma jkt itende","taylor winch (t) ltd","Africa Fine Coffee Association","Tanzania, United Republic Of",1600,1600,1600,65,"60 kg","Arabica","Other","Washed / Wet",7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,0.12,0,2,"Green",84.25
"204","juan luis alvarado romero","el papaturro","beneficio ixchel","Asociacion Nacional Del Café","Guatemala",1219.2,1219.2,1219.2,250,"69 kg","Arabica","Bourbon","Other",7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,0.1,0,1,"Green",84.25
"205","exportadora de cafe condor s.a",NA,"trilladora boananza","Almacafé","Colombia",1700,1700,1700,250,"70 kg","Arabica","Caturra","Washed / Wet",7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,0.11,0,2,"Green",84.25
"206","kona pacific farmers cooperative",NA,NA,"Specialty Coffee Association","United States (Hawaii)",NA,NA,NA,7,"100 lbs","Arabica","Hawaiian Kona","Natural / Dry",7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,0.11,1,1,"Bluish-Green",84.25
"207","jesus salazar velasco","pante carajillo","san pedro cotzilnam, municipio de aldama, chiapas","AMECAFE","Mexico",1450,1450,1450,10,"1 kg","Arabica","Typica","Semi-washed / Semi-pulped",7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,0.12,0,1,"Green",84.25
"208","manuel herrera juarez","finca los barreales","finca los barreales","AMECAFE","Mexico",1170,1170,1170,20,"1 kg","Arabica","Bourbon","Washed / Wet",7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,0.12,0,0,"Green",84.25
